Time from (DKK local time);Time to (DKK local time);Heat Demand (MWh);Electricity Price (DKK / Mwh el)
11/02/2023 01.00;11/02/2023 02.00;6,31;577,84
11/02/2023 02.00;11/02/2023 03.00;6,37;576,8
11/02/2023 03.00;11/02/2023 04.00;6,43;573,45
11/02/2023 04.00;11/02/2023 05.00;7,04;576,58
11/02/2023 05.00;11/02/2023 06.00;6,96;566,53
11/02/2023 06.00;11/02/2023 07.00;6,96;580,97
11/02/2023 07.00;11/02/2023 08.00;6,61;587,59
11/02/2023 08.00;11/02/2023 09.00;6,82;595,41
11/02/2023 09.00;11/02/2023 10.00;6,89;607,17
11/02/2023 10.00;11/02/2023 11.00;6,69;612,83
11/02/2023 11.00;11/02/2023 12.00;6,62;607,17
11/02/2023 12.00;11/02/2023 13.00;6,5;600,03
11/02/2023 13.00;11/02/2023 14.00;6,4;603,9
11/02/2023 14.00;11/02/2023 15.00;6,58;609,7
11/02/2023 15.00;11/02/2023 16.00;6,2;599,21
11/02/2023 16.00;11/02/2023 17.00;6,29;660,25
11/02/2023 17.00;11/02/2023 18.00;6,07;744,23
11/02/2023 18.00;11/02/2023 19.00;6,27;832,82
11/02/2023 19.00;11/02/2023 20.00;6,3;809,51
11/02/2023 20.00;11/02/2023 21.00;6,25;743,26
11/02/2023 21.00;11/02/2023 22.00;6,16;731,05
11/02/2023 22.00;11/02/2023 23.00;6,23;703,51
11/02/2023 23.00;12/02/2023 00.00;6,09;706,04
12/02/2023 00.00;12/02/2023 01.00;6,05;965,7
12/02/2023 01.00;12/02/2023 02.00;6,05;934,21
12/02/2023 02.00;12/02/2023 03.00;6,06;981,11
12/02/2023 03.00;12/02/2023 04.00;6,24;949,69
12/02/2023 04.00;12/02/2023 05.00;6,75;881,88
12/02/2023 05.00;12/02/2023 06.00;6,74;885,08
12/02/2023 06.00;12/02/2023 07.00;6,72;804,15
12/02/2023 07.00;12/02/2023 08.00;6,27;864,83
12/02/2023 08.00;12/02/2023 09.00;6,51;1056,9
12/02/2023 09.00;12/02/2023 10.00;6,71;1004,78
12/02/2023 10.00;12/02/2023 11.00;6,59;1002,18
12/02/2023 11.00;12/02/2023 12.00;6,41;900,34
12/02/2023 12.00;12/02/2023 13.00;6,28;790,61
12/02/2023 13.00;12/02/2023 14.00;6,26;756,88
12/02/2023 14.00;12/02/2023 15.00;6,53;740,73
12/02/2023 15.00;12/02/2023 16.00;6,48;733,8
12/02/2023 16.00;12/02/2023 17.00;6,45;877,86
12/02/2023 17.00;12/02/2023 18.00;6,14;1123,45
12/02/2023 18.00;12/02/2023 19.00;6,3;1247,03
12/02/2023 19.00;12/02/2023 20.00;6,17;1002,63
12/02/2023 20.00;12/02/2023 21.00;6,1;1002,33
12/02/2023 21.00;12/02/2023 22.00;6,09;797,16
12/02/2023 22.00;12/02/2023 23.00;6,09;767,38
12/02/2023 23.00;13/02/2023 00.00;6,03;734,85
13/02/2023 00.00;13/02/2023 01.00;6,08;773,11
13/02/2023 01.00;13/02/2023 02.00;6,18;753,01
13/02/2023 02.00;13/02/2023 03.00;6,26;751,67
13/02/2023 03.00;13/02/2023 04.00;6,39;766,93
13/02/2023 04.00;13/02/2023 05.00;6,96;773,33
13/02/2023 05.00;13/02/2023 06.00;7,09;818,15
13/02/2023 06.00;13/02/2023 07.00;7,34;1170,72
13/02/2023 07.00;13/02/2023 08.00;6,84;1459,72
13/02/2023 08.00;13/02/2023 09.00;6,94;1505,28
13/02/2023 09.00;13/02/2023 10.00;6,86;1460,61
13/02/2023 10.00;13/02/2023 11.00;6,73;1290,5
13/02/2023 11.00;13/02/2023 12.00;6,46;1049,67
13/02/2023 12.00;13/02/2023 13.00;6,21;916,42
13/02/2023 13.00;13/02/2023 14.00;6,26;893,34
13/02/2023 14.00;13/02/2023 15.00;6,34;893,34
13/02/2023 15.00;13/02/2023 16.00;6,66;900,78
13/02/2023 16.00;13/02/2023 17.00;6,71;1118,39
13/02/2023 17.00;13/02/2023 18.00;6,81;1400,01
13/02/2023 18.00;13/02/2023 19.00;6,47;1651,19
13/02/2023 19.00;13/02/2023 20.00;6,26;1538,03
13/02/2023 20.00;13/02/2023 21.00;6,2;1398,52
13/02/2023 21.00;13/02/2023 22.00;6,22;1257,52
13/02/2023 22.00;13/02/2023 23.00;6,15;1198,34
13/02/2023 23.00;14/02/2023 00.00;6,19;1117,57
14/02/2023 00.00;14/02/2023 01.00;6,15;1010,17
14/02/2023 01.00;14/02/2023 02.00;6,33;985,59
14/02/2023 02.00;14/02/2023 03.00;6,32;984,39
14/02/2023 03.00;14/02/2023 04.00;6,38;984,1
14/02/2023 04.00;14/02/2023 05.00;7,02;985,59
14/02/2023 05.00;14/02/2023 06.00;7,21;1057,17
14/02/2023 06.00;14/02/2023 07.00;7,4;1238,09
14/02/2023 07.00;14/02/2023 08.00;6,92;1489,63
14/02/2023 08.00;14/02/2023 09.00;7,06;1541,69
14/02/2023 09.00;14/02/2023 10.00;7,02;1345,2
14/02/2023 10.00;14/02/2023 11.00;7,12;1029,83
14/02/2023 11.00;14/02/2023 12.00;7,08;1036,53
14/02/2023 12.00;14/02/2023 13.00;7,08;970,99
14/02/2023 13.00;14/02/2023 14.00;7;934,12
14/02/2023 14.00;14/02/2023 15.00;6,64;945,44
14/02/2023 15.00;14/02/2023 16.00;7,09;985,59
14/02/2023 16.00;14/02/2023 17.00;7,07;1137,39
14/02/2023 17.00;14/02/2023 18.00;7,03;1346,76
14/02/2023 18.00;14/02/2023 19.00;6,53;1489,63
14/02/2023 19.00;14/02/2023 20.00;6,38;1437,34
14/02/2023 20.00;14/02/2023 21.00;6,51;1309,52
14/02/2023 21.00;14/02/2023 22.00;6,34;1192,43
14/02/2023 22.00;14/02/2023 23.00;6,41;1124,95
14/02/2023 23.00;15/02/2023 00.00;6,35;1055,68
08/07/2023 00.00;08/07/2023 01.00;1,79;752,03
08/07/2023 01.00;08/07/2023 02.00;1,85;691,05
08/07/2023 02.00;08/07/2023 03.00;1,76;674,78
08/07/2023 03.00;08/07/2023 04.00;1,67;652,95
08/07/2023 04.00;08/07/2023 05.00;1,73;666,3
08/07/2023 05.00;08/07/2023 06.00;1,79;654,6
08/07/2023 06.00;08/07/2023 07.00;1,82;637,05
08/07/2023 07.00;08/07/2023 08.00;1,81;639,45
08/07/2023 08.00;08/07/2023 09.00;1,84;628,28
08/07/2023 09.00;08/07/2023 10.00;1,88;570,3
08/07/2023 10.00;08/07/2023 11.00;2;456,75
08/07/2023 11.00;08/07/2023 12.00;1,86;347,4
08/07/2023 12.00;08/07/2023 13.00;1,78;264,15
08/07/2023 13.00;08/07/2023 14.00;1,6;125,33
