TimeFrom,TimeTo,HeatDemand,ElectricityPrice
02/11/2023 20:00:00,02/11/2023 21:00:00,6.25,743.26
02/11/2023 21:00:00,02/11/2023 22:00:00,6.16,731.05
02/11/2023 22:00:00,02/11/2023 23:00:00,6.23,703.51
02/11/2023 23:00:00,02/12/2023 00:00:00,6.09,706.04
02/12/2023 00:00:00,02/12/2023 01:00:00,6.05,965.70
02/12/2023 01:00:00,02/12/2023 02:00:00,6.05,934.21
02/12/2023 02:00:00,02/12/2023 03:00:00,6.06,981.11
02/12/2023 03:00:00,02/12/2023 04:00:00,6.24,949.69
02/12/2023 04:00:00,02/12/2023 05:00:00,6.75,881.88
02/12/2023 05:00:00,02/12/2023 06:00:00,6.74,885.08
02/12/2023 06:00:00,02/12/2023 07:00:00,6.72,804.15
02/12/2023 07:00:00,02/12/2023 08:00:00,6.27,864.83
02/12/2023 08:00:00,02/12/2023 09:00:00,6.51,1056.90
02/12/2023 09:00:00,02/12/2023 10:00:00,6.71,1004.78
02/12/2023 10:00:00,02/12/2023 11:00:00,6.59,1002.18
02/12/2023 11:00:00,02/12/2023 12:00:00,6.41,900.34
02/12/2023 12:00:00,02/12/2023 13:00:00,6.28,790.61
02/12/2023 13:00:00,02/12/2023 14:00:00,6.26,756.88
02/12/2023 14:00:00,02/12/2023 15:00:00,6.53,740.73
02/12/2023 15:00:00,02/12/2023 16:00:00,6.48,733.80
02/12/2023 16:00:00,02/12/2023 17:00:00,6.45,877.86
02/12/2023 17:00:00,02/12/2023 18:00:00,6.14,1123.45
02/12/2023 18:00:00,02/12/2023 19:00:00,6.30,1247.03
02/12/2023 19:00:00,02/12/2023 20:00:00,6.17,1002.63
02/12/2023 20:00:00,02/12/2023 21:00:00,6.10,1002.33
02/12/2023 21:00:00,02/12/2023 22:00:00,6.09,797.16
02/12/2023 22:00:00,02/12/2023 23:00:00,6.09,767.38
02/12/2023 23:00:00,02/13/2023 00:00:00,6.03,734.85
02/13/2023 00:00:00,02/13/2023 01:00:00,6.08,773.11
02/13/2023 01:00:00,02/13/2023 02:00:00,6.18,753.01
02/13/2023 02:00:00,02/13/2023 03:00:00,6.26,751.67
02/13/2023 03:00:00,02/13/2023 04:00:00,6.39,766.93
02/13/2023 04:00:00,02/13/2023 05:00:00,6.96,773.33
02/13/2023 05:00:00,02/13/2023 06:00:00,7.09,818.15
02/13/2023 06:00:00,02/13/2023 07:00:00,7.34,1170.72
02/13/2023 07:00:00,02/13/2023 08:00:00,6.84,1459.72
02/13/2023 08:00:00,02/13/2023 09:00:00,6.94,1505.28
02/13/2023 09:00:00,02/13/2023 10:00:00,6.86,1460.61
02/13/2023 10:00:00,02/13/2023 11:00:00,6.73,1290.50
02/13/2023 11:00:00,02/13/2023 12:00:00,6.46,1049.67
02/13/2023 12:00:00,02/13/2023 13:00:00,6.21,916.42
02/13/2023 13:00:00,02/13/2023 14:00:00,6.26,893.34
02/13/2023 14:00:00,02/13/2023 15:00:00,6.34,893.34
02/13/2023 15:00:00,02/13/2023 16:00:00,6.66,900.78
02/13/2023 16:00:00,02/13/2023 17:00:00,6.71,1118.39
02/13/2023 17:00:00,02/13/2023 18:00:00,6.81,1400.01
02/13/2023 18:00:00,02/13/2023 19:00:00,6.47,1651.19
02/13/2023 19:00:00,02/13/2023 20:00:00,6.26,1538.03
02/13/2023 20:00:00,02/13/2023 21:00:00,6.20,1398.52
02/13/2023 21:00:00,02/13/2023 22:00:00,6.22,1257.52
02/13/2023 22:00:00,02/13/2023 23:00:00,6.15,1198.34
02/13/2023 23:00:00,02/14/2023 00:00:00,6.19,1117.57
02/14/2023 00:00:00,02/14/2023 01:00:00,6.15,1010.17
02/14/2023 01:00:00,02/14/2023 02:00:00,6.33,985.59
02/14/2023 02:00:00,02/14/2023 03:00:00,6.32,984.39
02/14/2023 03:00:00,02/14/2023 04:00:00,6.38,984.10
02/14/2023 04:00:00,02/14/2023 05:00:00,7.02,985.59
02/14/2023 05:00:00,02/14/2023 06:00:00,7.21,1057.17
02/14/2023 06:00:00,02/14/2023 07:00:00,7.40,1238.09
02/14/2023 07:00:00,02/14/2023 08:00:00,6.92,1489.63
02/14/2023 08:00:00,02/14/2023 09:00:00,7.06,1541.69
02/14/2023 09:00:00,02/14/2023 10:00:00,7.02,1345.20
02/14/2023 10:00:00,02/14/2023 11:00:00,7.12,1029.83
02/14/2023 11:00:00,02/14/2023 12:00:00,7.08,1036.53
02/14/2023 12:00:00,02/14/2023 13:00:00,7.08,970.99
02/14/2023 13:00:00,02/14/2023 14:00:00,7.00,934.12
02/14/2023 14:00:00,02/14/2023 15:00:00,6.64,945.44
02/14/2023 15:00:00,02/14/2023 16:00:00,7.09,985.59
02/14/2023 16:00:00,02/14/2023 17:00:00,7.07,1137.39
02/14/2023 17:00:00,02/14/2023 18:00:00,7.03,1346.76
02/14/2023 18:00:00,02/14/2023 19:00:00,6.53,1489.63
02/14/2023 19:00:00,02/14/2023 20:00:00,6.38,1437.34
02/14/2023 20:00:00,02/14/2023 21:00:00,6.51,1309.52
02/14/2023 21:00:00,02/14/2023 22:00:00,6.34,1192.43
02/14/2023 22:00:00,02/14/2023 23:00:00,6.41,1124.95
02/14/2023 23:00:00,02/15/2023 00:00:00,6.35,1055.68
07/08/2023 00:00:00,07/08/2023 01:00:00,1.79,752.03
07/08/2023 01:00:00,07/08/2023 02:00:00,1.85,691.05
07/08/2023 02:00:00,07/08/2023 03:00:00,1.76,674.78
07/08/2023 03:00:00,07/08/2023 04:00:00,1.67,652.95
07/08/2023 04:00:00,07/08/2023 05:00:00,1.73,666.30
07/08/2023 05:00:00,07/08/2023 06:00:00,1.79,654.60
07/08/2023 06:00:00,07/08/2023 07:00:00,1.82,637.05
07/08/2023 07:00:00,07/08/2023 08:00:00,1.81,639.45
07/08/2023 08:00:00,07/08/2023 09:00:00,1.84,628.28
07/08/2023 09:00:00,07/08/2023 10:00:00,1.88,570.30
07/08/2023 10:00:00,07/08/2023 11:00:00,2.00,456.75
07/08/2023 11:00:00,07/08/2023 12:00:00,1.86,347.40
07/08/2023 12:00:00,07/08/2023 13:00:00,1.78,264.15
07/08/2023 13:00:00,07/08/2023 14:00:00,1.60,125.33
07/08/2023 14:00:00,07/08/2023 15:00:00,1.57,125.48
07/08/2023 15:00:00,07/08/2023 16:00:00,1.55,300.00
07/08/2023 16:00:00,07/08/2023 17:00:00,1.57,456.75
07/08/2023 17:00:00,07/08/2023 18:00:00,1.53,625.50
07/08/2023 18:00:00,07/08/2023 19:00:00,1.52,804.75
07/08/2023 19:00:00,07/08/2023 20:00:00,1.50,907.50
07/08/2023 20:00:00,07/08/2023 21:00:00,1.50,965.70
07/08/2023 21:00:00,07/08/2023 22:00:00,1.48,996.45
07/08/2023 22:00:00,07/08/2023 23:00:00,1.51,972.90
07/08/2023 23:00:00,07/09/2023 00:00:00,1.55,869.40
07/09/2023 00:00:00,07/09/2023 01:00:00,1.54,820.80
07/09/2023 01:00:00,07/09/2023 02:00:00,1.47,763.05
07/09/2023 02:00:00,07/09/2023 03:00:00,1.41,763.65
07/09/2023 03:00:00,07/09/2023 04:00:00,1.43,715.80
07/09/2023 04:00:00,07/09/2023 05:00:00,1.43,718.43
07/09/2023 05:00:00,07/09/2023 06:00:00,1.45,726.90
07/09/2023 06:00:00,07/09/2023 07:00:00,1.47,710.10
07/09/2023 07:00:00,07/09/2023 08:00:00,1.50,684.00
07/09/2023 08:00:00,07/09/2023 09:00:00,1.62,646.80
07/09/2023 09:00:00,07/09/2023 10:00:00,1.70,578.33
07/09/2023 10:00:00,07/09/2023 11:00:00,1.74,450.90
07/09/2023 11:00:00,07/09/2023 12:00:00,1.68,375.90
07/09/2023 12:00:00,07/09/2023 13:00:00,1.58,342.68
07/09/2023 13:00:00,07/09/2023 14:00:00,1.45,277.43
07/09/2023 14:00:00,07/09/2023 15:00:00,1.43,336.38
07/09/2023 15:00:00,07/09/2023 16:00:00,1.42,413.63
07/09/2023 16:00:00,07/09/2023 17:00:00,1.47,547.35
07/09/2023 17:00:00,07/09/2023 18:00:00,1.46,618.00
07/09/2023 18:00:00,07/09/2023 19:00:00,1.50,783.08
07/09/2023 19:00:00,07/09/2023 20:00:00,1.50,916.58
07/09/2023 20:00:00,07/09/2023 21:00:00,1.44,990.00
07/09/2023 21:00:00,07/09/2023 22:00:00,1.45,1005.75
07/09/2023 22:00:00,07/09/2023 23:00:00,1.44,990.90
07/09/2023 23:00:00,07/10/2023 00:00:00,1.47,897.00
07/10/2023 00:00:00,07/10/2023 01:00:00,1.40,843.68
07/10/2023 01:00:00,07/10/2023 02:00:00,1.32,765.00
07/10/2023 02:00:00,07/10/2023 03:00:00,1.28,707.25
07/10/2023 03:00:00,07/10/2023 04:00:00,1.33,689.55
07/10/2023 04:00:00,07/10/2023 05:00:00,1.35,699.83
07/10/2023 05:00:00,07/10/2023 06:00:00,1.35,788.55
07/10/2023 06:00:00,07/10/2023 07:00:00,1.42,912.53
07/10/2023 07:00:00,07/10/2023 08:00:00,1.49,995.85
07/10/2023 08:00:00,07/10/2023 09:00:00,1.55,1007.03
07/10/2023 09:00:00,07/10/2023 10:00:00,1.58,884.63
07/10/2023 10:00:00,07/10/2023 11:00:00,1.68,789.60
07/10/2023 11:00:00,07/10/2023 12:00:00,1.73,712.43
07/10/2023 12:00:00,07/10/2023 13:00:00,1.68,669.23
07/10/2023 13:00:00,07/10/2023 14:00:00,1.62,601.20
07/10/2023 14:00:00,07/10/2023 15:00:00,1.51,483.53
07/10/2023 15:00:00,07/10/2023 16:00:00,1.53,463.58
07/10/2023 16:00:00,07/10/2023 17:00:00,1.46,472.05
07/10/2023 17:00:00,07/10/2023 18:00:00,1.51,602.70
07/10/2023 18:00:00,07/10/2023 19:00:00,1.55,914.78
07/10/2023 19:00:00,07/10/2023 20:00:00,1.53,1241.18
07/10/2023 20:00:00,07/10/2023 21:00:00,1.50,1319.18
07/10/2023 21:00:00,07/10/2023 22:00:00,1.49,1350.53
07/10/2023 22:00:00,07/10/2023 23:00:00,1.47,1221.90
